meantemp,humidity,wind_speed,meanpressure,yields
15.91,85.87,2.74,59.00,163.53
18.50,77.22,2.89,1018.28,1116.89
17.11,81.89,4.02,1018.33,1121.35
18.70,70.05,4.54,1015.70,1108.99
18.39,74.94,3.30,1014.33,1110.97
19.32,79.32,8.68,1011.77,1119.09
14.71,95.83,10.04,1011.38,1131.96
15.68,83.53,1.95,1015.55,1116.71
14.57,80.81,6.54,1015.95,1117.88
12.11,71.94,9.36,1016.89,1110.31
11.00,72.11,9.77,1016.78,1109.66
11.79,74.58,6.63,1016.37,1109.36
13.24,67.06,6.44,1017.53,1104.26
13.20,74.28,5.28,1018.84,1111.60
16.43,72.57,3.63,1018.13,1110.76
14.65,78.45,10.38,1017.15,1120.63
11.72,84.44,8.04,1018.39,1122.59
13.04,78.33,6.03,1021.96,1119.36
14.62,75.14,10.34,1022.81,1122.91
15.26,66.47,11.23,1021.79,1114.75
15.39,70.87,13.70,1020.48,1120.43
18.44,76.24,5.87,1021.04,1121.59
18.12,76.00,6.75,1019.82,1120.69
18.35,68.13,3.39,1018.87,1108.74
21.00,69.96,8.76,1018.40,1118.12
16.18,91.64,8.47,1017.79,1134.07
16.50,77.04,14.36,1018.12,1126.03
14.86,82.77,9.69,1019.64,1126.96
15.67,81.78,10.29,1017.39,1125.13
16.44,77.56,4.32,1015.83,1114.16
16.12,76.00,4.62,1015.50,1112.25
15.25,78.62,5.10,1017.50,1116.47
17.09,66.55,3.03,1018.91,1105.57
15.64,78.18,1.85,1017.73,1113.40
18.70,77.60,9.82,1014.40,1120.52
18.63,77.63,8.10,1014.21,1118.57
16.89,69.67,9.04,1016.00,1111.60
15.12,63.75,7.64,1016.12,1102.64
15.70,68.40,4.08,1015.60,1103.78
15.38,68.38,7.88,1016.38,1108.00
14.67,71.78,9.07,1015.67,1111.18
15.62,64.00,3.95,1016.62,1100.20
16.25,70.38,1.62,1019.62,1107.88
16.33,67.00,6.38,1021.56,1111.27
16.88,65.50,6.96,1021.38,1110.71
17.57,67.71,5.56,1020.57,1111.41
20.25,56.75,10.44,1017.62,1105.06
21.30,64.40,9.28,1016.50,1111.48
21.12,70.75,6.25,1016.25,1114.38
22.36,66.09,6.05,1013.00,1107.51
23.38,60.12,6.94,1005.38,1095.81
21.83,69.42,12.34,1007.42,1111.01
19.12,57.12,7.41,1012.25,1095.91
18.62,42.88,14.35,1015.25,1091.10
19.12,40.38,16.66,1016.12,1092.29
19.00,50.43,11.93,1014.29,1095.64
18.75,59.00,11.11,1012.38,1101.24
19.88,58.38,5.10,1014.25,1097.60
23.33,51.67,3.91,1013.11,1092.02
24.46,47.92,6.42,1012.92,1091.72
23.75,54.25,5.93,1012.15,1096.08
20.50,42.50,7.41,1010.62,1081.04
19.12,43.12,8.35,1010.00,1080.60
19.75,41.25,9.96,1010.50,1081.46
20.00,42.44,9.67,1010.33,1082.44
22.62,41.50,6.03,1007.38,1077.53
21.55,52.73,10.26,1008.91,1093.45
20.79,69.07,8.34,1007.36,1105.56
19.94,67.75,11.46,1006.88,1106.03
18.53,60.40,5.57,1009.80,1094.30
17.38,56.62,7.64,1014.75,1096.39
17.44,49.33,9.06,1014.89,1090.72
18.00,56.33,4.52,1016.56,1095.41
19.88,54.75,7.17,1014.12,1095.92
24.00,49.20,5.56,1011.10,1089.86
20.90,59.70,11.49,1010.70,1102.79
24.69,46.31,7.12,1009.85,1087.97
24.67,52.28,9.16,1011.89,1097.99
23.33,54.67,10.08,1012.56,1100.63
25.00,49.00,9.26,1011.75,1095.01
27.25,45.00,10.19,1009.75,1092.19
28.00,49.75,3.49,1008.88,1090.11
28.92,37.67,10.03,1010.58,1087.20
26.50,39.38,10.43,1009.88,1086.17
29.10,37.10,17.59,1010.20,1093.99
29.50,38.62,13.65,1009.50,1091.28
29.89,40.67,8.84,1009.00,1088.40
31.00,34.50,13.20,1007.12,1085.83
29.29,36.86,10.59,1007.14,1083.87
30.62,37.62,6.95,1007.50,1082.70
31.38,35.12,9.04,1005.00,1080.54
29.75,33.75,9.26,1004.25,1077.01
30.50,29.75,6.94,1004.25,1071.44
30.93,31.87,14.32,1007.20,1084.32
29.23,46.00,14.38,1005.00,1094.62
31.22,26.00,13.58,1002.89,1073.69
27.00,29.88,4.65,1007.38,1068.90
25.62,29.38,8.34,1010.38,1073.71
27.12,21.12,14.12,1010.62,1073.00
27.86,19.43,19.31,1008.57,1075.17
29.25,17.75,15.51,1006.25,1068.76
29.25,26.00,9.49,1005.88,1070.61
29.67,29.11,4.94,1006.78,1070.50
30.50,37.62,1.39,1004.62,1074.14
31.22,30.44,5.97,1002.44,1070.08
31.00,34.25,2.10,1003.25,1070.60
32.56,38.44,5.37,1004.44,1080.81
34.00,27.33,7.81,1003.11,1072.26
33.50,24.12,9.03,1000.88,1067.53
34.50,27.50,5.56,998.62,1066.19
34.25,39.38,6.96,999.88,1080.46
32.90,40.90,8.89,1001.60,1084.29
32.88,27.50,9.96,1002.12,1072.46
32.00,27.14,12.16,1004.14,1075.44
